,rank,city,statename,population_2016,population_2010,latitide,longitude,state
0,1,New York,New York,"8,537,673","8,175,133",﻿40.6635,-73.9387,NY
1,2,Los Angeles,California,"3,976,322","3,792,621",﻿34.0194,-118.4108,CA
2,3,Chicago,Illinois,"2,704,958","2,695,598",﻿41.8376,-87.6818,IL
3,4,Houston,Texas,"2,303,482","2,100,263",﻿29.7866,-95.3909,TX
4,5,Phoenix,Arizona,"1,615,017","1,445,632",﻿33.5722,-112.0901,AZ
5,6,Philadelphia,Pennsylvania,"1,567,872","1,526,006",﻿40.0094,-75.1333,PA
6,7,San Antonio,Texas,"1,492,510","1,327,407",﻿29.4724,-98.5251,TX
7,8,San Diego,California,"1,406,630","1,307,402",﻿32.8153,-117.1350,CA
8,9,Dallas,Texas,"1,317,929","1,197,816",﻿32.7933,-96.7665,TX
9,10,San Jose,California,"1,025,350","945,942",﻿37.2967,-121.8189,CA
10,11,Austin,Texas,"947,890","790,390",﻿30.3039,-97.7544,TX
11,12,Jacksonville,Florida,"880,619","821,784",﻿30.3369,-81.6616,FL
12,13,San Francisco,California,"870,887","805,235",﻿37.7272,-123.0322,CA
13,14,Columbus,Ohio,"860,090","787,033",﻿39.9852,-82.9848,OH
14,15,Indianapolis,Indiana,"855,164","820,445",﻿39.7767,-86.1459,IN
15,16,Fort Worth,Texas,"854,113","741,206",﻿32.7815,-97.3467,TX
16,17,Charlotte,North Carolina,"842,051","731,424",﻿35.2078,-80.8310,NC
17,18,Seattle,Washington,"704,352","608,660",﻿47.6205,-122.3509,WA
18,19,Denver,Colorado,"693,060","600,158",﻿39.7619,-104.8811,CO
19,20,El Paso city,Texas,"683,080","649,121",﻿31.8484,-106.4270,TX
20,21,Washington city,District of Columbia,"681,170","601,723",﻿38.9041,-77.0172,DC
21,22,Boston,Massachusetts,"673,184","617,594",﻿42.3320,-71.0202,MA
22,23,Detroit,Michigan,"672,795","713,777",﻿42.3830,-83.1022,MI
23,24,Nashville,Tennessee,"660,388","601,222",﻿36.1718,-86.7850,TN
24,25,Memphis,Tennessee,"652,717","646,889",﻿35.1028,-89.9774,TN
25,26,Portland,Oregon,"639,863","583,776",﻿45.5370,-122.6500,OR
26,27,Oklahoma City,Oklahoma,"638,367","579,999",﻿35.4671,-97.5137,OK
