Rank	City	Population
1	New York	8,550,405
2	Los Angeles	3,971,883
3	Chicago	2,720,546
4	Houston	2,296,224
5	Philadelphia	1,567,442
6	Phoenix	1,563,025
7	San Antonio	1,469,845
8	San Diego	1,394,928
9	Dallas	1,300,092
10	San Jose	1,026,908
11	Austin	931,830
12	Jacksonville	868,031
13	San Francisco	864,816
14	Indianapolis	853,173
15	Columbus	850,106
16	Fort Worth	833,319
17	Charlotte	827,097
18	Seattle	684,451
19	Denver	682,545
20	El Paso	681,124
21	Detroit	677,116
22	Washington	672,228
23	Boston	667,137
24	Memphis	655,770
25	Nashville	654,610
