DATE,HNOREMV
1997-01-01,9377.38
1997-04-01,9503.95
1997-07-01,9643.31
1997-10-01,9826.88
1998-01-01,10061.74
1998-04-01,10277.57
1998-07-01,10527.01
1998-10-01,10787.66
1999-01-01,11007.33
1999-04-01,11222.12
1999-07-01,11515.67
1999-10-01,11804.36
2000-01-01,12197.60
2000-04-01,12603.85
2000-07-01,13085.27
2000-10-01,13524.15
2001-01-01,13922.64
2001-04-01,14271.21
2001-07-01,14658.81
2001-10-01,14864.25
2002-01-01,15161.93
2002-04-01,15520.79
2002-07-01,15912.66
2002-10-01,16285.25
2003-01-01,16664.68
2003-04-01,17035.70
2003-07-01,17486.72
2003-10-01,18010.85
2004-01-01,18651.44
2004-04-01,19400.19
2004-07-01,20148.71
2004-10-01,20901.38
2005-01-01,21723.42
2005-04-01,22605.89
2005-07-01,23455.11
2005-10-01,24291.17
2006-01-01,24830.35
2006-04-01,24938.24
2006-07-01,24951.10
2006-10-01,24982.92
2007-01-01,24909.99
2007-04-01,24410.33
2007-07-01,23901.58
2007-10-01,23273.88
2008-01-01,22336.81
2008-04-01,21274.32
2008-07-01,20495.75
2008-10-01,19480.32
2009-01-01,18840.86
2009-04-01,18542.25
2009-07-01,18391.58
2009-10-01,18469.11
2010-01-01,18436.27
2010-04-01,18478.33
2010-07-01,18197.45
2010-10-01,18112.46
2011-01-01,18041.58
2011-04-01,17965.84
2011-07-01,18060.60
2011-10-01,18192.27
2012-01-01,18380.38
2012-04-01,18820.31
2012-07-01,19255.46
2012-10-01,19643.39
2013-01-01,20157.85
2013-04-01,20784.35
2013-07-01,21392.08
2013-10-01,21876.49
2014-01-01,22150.55
2014-04-01,22407.03
2014-07-01,22753.76
2014-10-01,23239.80
2015-01-01,23720.72
2015-04-01,24041.88
2015-07-01,24439.05
2015-10-01,24806.47
2016-01-01,25072.08
2016-04-01,25392.14
2016-07-01,25910.41
2016-10-01,26367.11
2017-01-01,26866.35
